country,city,season,pollutant,seasonal_avg
AU,Illawarra,spring,so2,0.18300000000000002
AU,Lower Hunter,spring,co,0.1
AU,Lower Hunter,spring,no2,0.008733333333333334
AU,Lower Hunter,spring,o3,0.001
AU,Lower Hunter,spring,pm10,13.5
AU,Lower Hunter,spring,pm25,11.9
AU,Lower Hunter,spring,so2,0.14433333333333334
AU,Mount Isa,spring,so2,0.0
AU,Mt Isa,spring,pm10,12.1
AU,Mt Isa,spring,so2,-9999.0
AU,North-west Slopes,spring,pm10,11.5
AU,North-west Slopes,spring,so2,0.268
AU,North-west Slopes,winter,pm25,4.8
AU,South East Queensland,autumn,co,0.0
AU,South East Queensland,spring,co,0.25
AU,South East Queensland,spring,no2,0.006
AU,South East Queensland,spring,o3,0.006444444444444444
AU,South East Queensland,spring,pm10,11.308333333333332
AU,South East Queensland,spring,pm25,4.5
AU,South East Queensland,spring,so2,0.0012000000000000001
AU,South-west Slopes,spring,pm10,15.950000000000001
AU,South-west Slopes,spring,pm25,12.5
AU,South-west Slopes,spring,so2,0.387
AU,Sydney East,spring,co,0.06666666666666667
AU,Sydney East,spring,no2,0.0077399999999999995
AU,Sydney East,spring,o3,0.0014
AU,Sydney East,spring,pm10,11.775
AU,Sydney East,spring,pm25,9.0
AU,Sydney East,spring,so2,0.1878
AU,Sydney North-west,autumn,co,0.1
AU,Sydney North-west,autumn,no2,0.0024
AU,Sydney North-west,autumn,o3,0.008
AU,Sydney North-west,autumn,so2,0.206
AU,Sydney North-west,spring,co,0.05
AU,Sydney North-west,spring,no2,0.0159
AU,Sydney North-west,spring,o3,0.008333333333333333
AU,Sydney North-west,spring,pm10,19.8
AU,Sydney North-west,spring,so2,0.3416666666666666
AU,Sydney North-west,winter,pm25,4.2
AU,Sydney South-west,spring,co,0.06666666666666667
AU,Sydney South-west,spring,no2,0.007850000000000001
AU,Sydney South-west,spring,o3,0.007833333333333333
AU,Sydney South-west,spring,pm10,14.383333333333333
AU,Sydney South-west,spring,pm25,10.2
AU,Sydney South-west,spring,so2,0.2125
AU,Tasmania Region,spring,pm10,9.941176470588236
AU,Tasmania Region,spring,pm25,1.7941176470588236
AU,Townsville,spring,no2,0.0
AU,Townsville,spring,pm10,19.366666666666667
AU,Townsville,spring,pm25,5.0
AU,Townsville,spring,so2,0.0
AU,Upper Hunter - Muswellbrook,spring,no2,0.018
AU,Upper Hunter - Muswellbrook,spring,pm10,34.5
AU,Upper Hunter - Muswellbrook,spring,pm25,11.7
AU,Upper Hunter - Muswellbrook,spring,so2,0.002
AU,Upper Hunter - Singleton,spring,no2,0.014
AU,Upper Hunter - Singleton,spring,pm10,31.9
AU,Upper Hunter - Singleton,spring,pm25,15.5
AU,Upper Hunter - Singleton,spring,so2,0.0
BA,Goražde,autumn,co,141.0
BA,Goražde,autumn,so2,10.0
BA,Goražde,spring,no2,19.0
BA,Goražde,spring,pm10,2.0
BA,Goražde,summer,o3,8.0
BA,Ilijaš,autumn,no2,33.0
BA,Ilijaš,autumn,pm10,100.0
BA,Ilijaš,autumn,so2,35.0
BA,Jajce,autumn,co,1508.0
BA,Jajce,autumn,no2,25.0
BA,Jajce,autumn,o3,6.0
BA,Jajce,autumn,pm10,9.0
BA,Jajce,spring,so2,29.0
BA,Kakanj,autumn,co,496.0
BA,Kakanj,autumn,no2,12.0
BA,Kakanj,autumn,o3,21.0
BA,Kakanj,autumn,pm10,47.0
BA,Kakanj,autumn,so2,19.0
BA,Lukavac,spring,co,558.0
BA,Lukavac,spring,no2,13.4
BA,Lukavac,spring,o3,86.0
BA,Lukavac,spring,pm25,12.8
BA,Lukavac,spring,so2,35.9
BA,Sarajevo,autumn,co,359.8
BA,Sarajevo,autumn,no2,27.5
BA,Sarajevo,autumn,o3,41.0
BA,Sarajevo,autumn,pm10,58.8
BA,Sarajevo,autumn,so2,8.2
BA,Sarajevo,spring,pm25,10.0
BA,Sarajevo,summer,no2,0.0
BA,Sarajevo,winter,o3,19.0
BA,Tuzla,autumn,pm25,34.4
BA,Tuzla,spring,co,904.0
BA,Tuzla,spring,no2,19.0
BA,Tuzla,spring,o3,26.8
BA,Tuzla,spring,pm25,9.4
BA,Tuzla,spring,so2,35.9
BA,Tuzla,summer,o3,29.4
BA,Tuzla,winter,co,2944.0
BA,Tuzla,winter,no2,35.2
BA,Tuzla,winter,o3,24.4
BA,Zenica,autumn,co,292.0
BA,Zenica,autumn,no2,29.0
BA,Zenica,autumn,o3,11.0
BA,Zenica,autumn,pm10,98.5
BA,Zenica,autumn,so2,78.0
BA,Zenica,summer,co,0.0
BA,Živinice,autumn,pm25,152.3
BA,Živinice,spring,co,424.0
BA,Živinice,spring,no2,7.5
BA,Živinice,spring,so2,72.7
BA,Živinice,winter,o3,22.8
BD,Dhaka,autumn,pm25,6.4
BD,Dhaka,spring,pm25,48.0
BE,Antwerpen,spring,co,0.19
BE,Antwerpen,spring,no2,46.27777777777778
BE,Antwerpen,spring,o3,12.5
BE,Antwerpen,spring,pm10,18.93846153846154
