country,city,year,avg_bc,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm25,avg_so2,pollutant_span
BE,Liege,2019,,0.22,21.8,29.625,17.61342857142857,7.6634622142857145,2.0,29.405
BE,Limburg,2019,,,24.875,29.666666666666668,28.200000000000003,16.75,,12.916666666666668
BE,Luxembourg,2019,,0.14500000000000002,6.0,62.625,10.542,4.410643525,0.5,62.48
BE,Namur,2019,,,5.666666666666667,29.833333333333332,9.708666666666668,7.176948366666667,0.5,29.333333333333332
BE,Oost-Vlaanderen,2019,,0.195,36.57142857142857,24.625,23.60234375,10.5625,0.9,36.37642857142857
BE,Vlaams-Brabant,2019,,0.235,35.55555555555556,54.75,17.366666666666664,6.75,1.25,54.515
BE,Wallonia,2016,,,,,,,0.75,0.0
BE,Wallonia,2017,,11.125,15.3125,40.25,12.171000000000001,3.2802,0.5,39.75
BE,West-Vlaanderen,2019,,,18.833333333333332,43.75,22.075,10.785714285714286,0.0,43.75
BR,Americana,2017,,,,102.0,16.0,,,86.0
BR,Araraquara,2017,,,7.0,138.0,24.0,,,131.0
BR,Araçatuba,2017,,,,96.0,39.0,,,57.0
BR,Bauru,2017,,,9.0,66.0,26.0,,,57.0
BR,Campinas,2017,,0.6000000000000001,15.5,66.0,35.0,30.0,,65.4
BR,Catanduva,2017,,,6.0,115.0,81.0,,,109.0
BR,Cerqueira César,2017,,0.9,92.0,,45.0,,1.0,91.1
BR,Cubatão,2017,,,61.333333333333336,62.0,39.0,,11.333333333333334,50.666666666666664
BR,Diadema,2017,,,,54.0,60.0,,,6.0
BR,Guarulhos,2017,,0.8,70.5,73.5,73.0,40.0,5.0,72.7
BR,Jacareí,2017,,,28.0,77.0,76.0,,,49.0
BR,Jaú,2017,,,16.0,65.0,40.0,,,49.0
BR,Jundiaí,2017,,,31.0,130.0,45.0,,,99.0
BR,Limeira,2017,,,15.0,115.0,71.0,,,100.0
BR,Marília,2017,,,8.0,76.0,19.0,,,68.0
BR,Mauá,2017,,,50.0,58.0,57.0,,,8.0
BR,Osasco,2017,,0.9,61.0,,74.0,98.0,1.0,97.1
BR,Paulínia,2017,,,8.0,138.0,31.0,,1.0,137.0
BR,Piracicaba,2017,,,17.0,89.0,0.0,32.0,,89.0
BR,Presidente Prudente,2017,,,8.0,68.0,40.0,,,60.0
BR,Santa Gertrudes,2017,,,,,19.0,,,0.0
BR,Santo André,2017,,1.2,,68.0,41.0,,1.0,67.0
BR,Santos,2017,,,24.5,76.0,12.5,15.0,8.0,68.0
BR,Sao Paulo,2017,,0.58,35.1,78.7,47.0,27.0,7.0,78.12
BR,Sorocaba,2017,,,21.0,50.0,31.0,,,29.0
BR,São Bernardo do Campo,2017,,0.8,57.0,66.0,43.0,38.0,,65.2
BR,São José Do Rio Preto,2017,,,11.0,109.0,47.0,15.0,,98.0
BR,São Paulo,2017,,0.6857142857142857,58.375,55.333333333333336,36.4,34.875,2.3333333333333335,57.68928571428572
BR,Taboão da Serra,2017,,1.1,69.0,,35.0,,,67.9
BR,Tatuí,2017,,,3.0,41.0,3.0,,,38.0
BR,Taubaté,2017,,0.3,7.0,115.0,26.0,6.0,1.0,114.7
CA,ALBERTA,2016,,,,0.031,,0.4,,0.369
CA,ALBERTA,2018,,,0.004,0.016,,5.35,0.001,5.348999999999999
CA,ALBERTA,2019,,0.312,0.016222222222222225,0.021391304347826087,,11.415000000000001,0.0002,11.414800000000001
CA,BRITISH COLUMBIA,2016,,,,0.03,7.0,0.7,,6.97
CA,BRITISH COLUMBIA,2017,,,,,7.5,34.8,,27.299999999999997
CA,BRITISH COLUMBIA,2018,,,,,12.0,0.0,,12.0
CA,BRITISH COLUMBIA,2019,,0.12,0.007333333333333333,0.0092,11.666666666666666,6.92,0.00025,11.666416666666667
CA,MANITOBA,2017,,,,0.012,,,,0.0
CA,MANITOBA,2019,,,,0.015,5.0,3.75,,4.985
CA,NEW BRUNSWICK,2016,,,,0.0195,,,,0.0
CA,NEW BRUNSWICK,2017,,,0.001,0.039,,3.0,,2.999
CA,NEW BRUNSWICK,2018,,,,0.026500000000000003,,14.0,,13.9735
CA,NEW BRUNSWICK,2019,,,0.001,0.024,,2.6,,2.599
CA,NEWFOUNDLAND,2019,,,,0.0312,,1.6666666666666667,,1.6354666666666668
CA,NORTHWEST TERRITORIES,2019,,,,0.0295,,,,0.0
CA,NOVA SCOTIA,2017,,,0.0,,,,,0.0
CA,NOVA SCOTIA,2018,,,,0.028,,,,0.0
CA,NOVA SCOTIA,2019,,,0.0003333333333333333,0.026714285714285715,,3.8333333333333335,0.0,3.8333333333333335
CA,ONTARIO,2019,,0.15,,0.023142857142857142,10.0,8.173913043478262,0.0,10.0
CA,PRINCE EDWARD ISLAND,2019,,,0.0013333333333333333,0.02666666666666667,,11.333333333333334,0.0,11.333333333333334
CA,QUEBEC,2016,,,0.001,0.0205,,,,0.0195
CA,QUEBEC,2017,,,,0.049,,,,0.0
CA,QUEBEC,2018,,,,0.04,,,,0.0
CA,QUEBEC,2019,,0.21,0.009,0.02864,,5.857142857142857,0.0,5.857142857142857
CA,SASKATCHEWAN,2016,,,,,3.0,,,0.0
